,Unnamed: 0,Unnamed: 0.1,sourceName,double,speed,length
41,41,7120,Parkinsons,0.313,3.579098067,35.43307087
42,42,7121,Parkinsons,0.305,2.37115247,24.80314961
43,43,7122,Parkinsons,0.307,2.0803507519999997,20.86614173
44,44,7123,Parkinsons,0.316,2.482999284,24.80314961
45,45,7124,Parkinsons,0.298,3.0422333569999997,29.52755906
46,46,7125,Parkinsons,0.34,2.8409090910000003,29.92125984
47,47,7126,Parkinsons,0.33299999999999996,2.68432355,28.74015748
48,48,7127,Parkinsons,0.327,3.0422333569999997,31.49606299
49,49,7128,Parkinsons,0.321,1.6777022190000002,19.68503937
50,50,7129,Parkinsons,0.305,2.102720115,22.04724409
51,51,7130,Parkinsons,0.306,2.057981389,21.25984252
52,52,7131,Parkinsons,0.302,2.14745884,24.40944882
53,53,7132,Parkinsons,0.29,2.2369362919999998,23.22834646
54,54,7133,Parkinsons,0.317,2.8856478169999997,28.74015748
55,55,7134,Parkinsons,0.23600000000000002,3.131710809,29.92125984
56,56,7135,Parkinsons,0.314,3.333035075,32.28346457
57,57,7136,Parkinsons,0.317,2.952755906,29.13385827
58,58,7137,Parkinsons,0.322,4.160701503,40.15748031
59,59,7138,Parkinsons,0.336,2.68432355,25.59055118
60,60,7139,Parkinsons,0.31,2.818539728,27.55905512
61,61,7140,Parkinsons,0.33799999999999997,2.594846099,25.19685039
62,62,7141,Parkinsons,0.322,2.3040443809999998,22.04724409
63,63,7142,Parkinsons,0.303,2.1698282030000002,23.22834646
64,64,7143,Parkinsons,0.324,1.9013958480000002,15.7480315
65,65,7144,Parkinsons,0.313,2.415891195,24.80314961
66,66,7145,Parkinsons,0.319,2.8632784539999996,29.13385827
67,67,7146,Parkinsons,0.3,2.617215462,29.52755906
68,68,7147,Parkinsons,0.295,2.8409090910000003,31.49606299
69,69,7148,Parkinsons,0.265,1.9908733,26.37795276
70,70,7149,Parkinsons,0.295,1.968503937,27.55905512
71,71,7150,Parkinsons,0.289,2.0803507519999997,21.65354331
72,72,7151,Parkinsons,0.315,2.2369362919999998,22.44094488
73,73,7152,Parkinsons,0.34,2.8856478169999997,28.74015748
74,74,7153,Parkinsons,0.32799999999999996,2.706692913,24.80314961
